"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps17.1",1.40924375990986e-23,-0.725796722834783,0.83,0.775,4.54974347886899e-19,"1","Rps17"
"Fgfr1op2.1",2.26966784079642e-23,-0.393798030174862,0.207,0.262,7.32762262401124e-19,"1","Fgfr1op2"
"Ltb.1",2.36619904285881e-23,-11.7671647105557,0.838,0.821,7.63927360986966e-19,"1","Ltb"
"Selenoh.1",2.84937495922821e-23,-0.379793008482374,0.148,0.198,9.19920705586826e-19,"1","Selenoh"
"Rac1.1",3.66289807979223e-23,-0.638643988772807,0.47,0.407,1.18256664506092e-18,"1","Rac1"
"Lyst",4.1083892977381e-23,-0.317583062366699,0.106,0.151,1.32639348477474e-18,"1","Lyst"
"Hspa8.1",5.93587186470681e-23,-16.2191137735595,0.901,0.864,1.91639623152059e-18,"1","Hspa8"
"Rab14",6.85236163435189e-23,-0.327562612788479,0.262,0.317,2.21228495365051e-18,"1","Rab14"
"Atp5j2.1",3.39805413663486e-22,-0.994447793873639,0.659,0.602,1.09706177801256e-17,"1","Atp5j2"
"Bcl10",4.20462297953541e-22,-0.26681910648613,0.203,0.256,1.35746252894301e-17,"1","Bcl10"
"AY036118.1",1.24642183982508e-21,-173.470123826083,0.838,0.806,4.02407290987528e-17,"1","AY036118"
"Taldo1.1",1.58155348358398e-21,-3.72070708182689,0.327,0.377,5.10604542175087e-17,"1","Taldo1"
"Il2rg.1",2.73404848887731e-21,-1.07257055751604,0.631,0.569,8.82687554634041e-17,"1","Il2rg"
"Uba52.1",2.91281001007751e-21,-0.726240740620264,0.589,0.531,9.40400711753524e-17,"1","Uba52"
"Prrc2a.1",3.62473375447083e-21,-0.490201745459417,0.323,0.376,1.17024529263091e-16,"1","Prrc2a"
"Cyth4.1",4.01783759906926e-21,-0.842726253145763,0.168,0.216,1.29715886885951e-16,"1","Cyth4"
"Rpl18a.1",4.79328680613512e-21,-37.8459088286929,0.992,0.993,1.54751264536072e-16,"1","Rpl18a"
"Arhgap4",6.15163866686527e-21,-0.330894447564316,0.315,0.37,1.98605654359745e-16,"1","Arhgap4"
"Setd2",1.50138978306857e-20,-0.262297980874632,0.186,0.235,4.84723691463687e-16,"1","Setd2"
"mt-Co1.1",2.21509328237979e-20,-274.458712391186,0.999,0.994,7.15142866216315e-16,"1","mt-Co1"
"Wasf2",2.61791679930383e-20,-0.358945037392561,0.296,0.351,8.45194438655242e-16,"1","Wasf2"
"Hint1.1",2.84549260800927e-20,-2.07778655955617,0.563,0.601,9.18667288495794e-16,"1","Hint1"
"Sdf4.1",3.08698277890818e-20,-5.39154300713341,0.336,0.282,9.96632390170505e-16,"1","Sdf4"
"mt-Atp6.1",3.65694157116931e-20,-137.402530648255,0.999,0.99,1.18064358625201e-15,"1","mt-Atp6"
"Capzb.1",5.65489564015034e-20,-1.59497195404487,0.518,0.561,1.82568305742254e-15,"1","Capzb"
"Nop10.1",6.63198086077861e-20,0.339020726278385,0.534,0.472,2.14113502090237e-15,"1","Nop10"
"Atp5e.1",7.39337159034335e-20,-1.55415759063404,0.87,0.883,2.38695001794235e-15,"1","Atp5e"
"Ddx17",7.50588504924863e-20,-0.266353600929092,0.299,0.352,2.42327498814992e-15,"1","Ddx17"
"Mrps16",2.09728359668517e-19,-0.260212571291016,0.252,0.302,6.77108009189806e-15,"1","Mrps16"
"Bri3",2.92850221427095e-19,-0.355753751501781,0.199,0.247,9.45466939877376e-15,"1","Bri3"
"Itgal.1",3.01741921428686e-19,-3.62466177596265,0.301,0.244,9.74173793332511e-15,"1","Itgal"
"Tuba1b.1",3.48369231332594e-19,-21.9435763697409,0.295,0.244,1.12471006335728e-14,"1","Tuba1b"
"Ptbp3",4.0207715359737e-19,-0.564156716073327,0.404,0.453,1.29810609038911e-14,"1","Ptbp3"
"Smarca5.1",5.8166291426208e-19,-0.353103498924271,0.28,0.331,1.87789871869513e-14,"1","Smarca5"
"Nr4a1.1",6.48702699820752e-19,-3.41659824165129,0.067,0.101,2.0943366663713e-14,"1","Nr4a1"
"Nedd8.1",7.48564043513839e-19,-0.427232688115938,0.376,0.427,2.41673901448443e-14,"1","Nedd8"
"Crip1.1",1.80166001231934e-18,-179.171243968567,0.714,0.748,5.81665934977298e-14,"1","Crip1"
"1810037I17Rik.1",1.82126294018773e-18,-0.858097200107035,0.346,0.393,5.87994740239608e-14,"1","1810037I17Rik"
"Ephx1",2.17115459035292e-18,-0.400241741708368,0.136,0.178,7.0095725949544e-14,"1","Ephx1"
"Snrpf.1",2.50940425372478e-18,-1.97700642379944,0.521,0.465,8.10161163315045e-14,"1","Snrpf"
"Ndufb7.1",3.40636694056699e-18,-0.426584062026542,0.365,0.417,1.09974556676205e-13,"1","Ndufb7"
"Cotl1.1",5.96137987261475e-18,-0.82084657174547,0.487,0.427,1.92463149187367e-13,"1","Cotl1"
"St6gal1.1",6.15093984512679e-18,-0.321248554686493,0.215,0.26,1.98583092899918e-13,"1","St6gal1"
"Mdh2.1",9.37613844368232e-18,-0.506183503198282,0.38,0.327,3.02708629654284e-13,"1","Mdh2"
"Cdkn1b.1",1.78308155288411e-17,0.261585002173658,0.296,0.249,5.75667879348634e-13,"1","Cdkn1b"
"Gm26917.1",1.83365461560663e-17,-56.1658007793603,0.642,0.574,5.919953926486e-13,"1","Gm26917"
"Actr2.1",2.6020702833923e-17,-0.422197098946744,0.345,0.394,8.40078390993205e-13,"1","Actr2"
"Sec61g.1",2.65872434327675e-17,-1.68801688834158,0.497,0.538,8.58369154226898e-13,"1","Sec61g"
"Smpdl3a.1",4.95465239647071e-17,-0.361650378700833,0.119,0.086,1.59960952620057e-12,"1","Smpdl3a"
"Uqcr11.1",5.93758840623369e-17,-0.590529907068575,0.338,0.382,1.91695041695255e-12,"1","Uqcr11"
"Sem1.1",9.85610959442474e-17,-10.8125515392876,0.624,0.654,3.18204498256003e-12,"1","Sem1"
"Tubb4b.1",1.05921755217002e-16,-4.56415397053818,0.159,0.202,3.41968386718092e-12,"1","Tubb4b"
"Cmah",1.20501646648114e-16,-0.311911849384325,0.199,0.242,3.89039566203435e-12,"1","Cmah"
"Prpf8",1.6585240427755e-16,-0.294960877957058,0.279,0.325,5.35454487210069e-12,"1","Prpf8"
