"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mt-Atp6",0,65.7922322035455,0.999,0.988,0,"0","mt-Atp6"
"mt-Co3",0,54.4075895038599,1,0.991,0,"0","mt-Co3"
"mt-Co1",0,21.251804350737,1,0.992,0,"0","mt-Co1"
"Cd55",0,3.31711305013105,0.62,0.252,0,"0","Cd55"
"Cd79a",0,3.02438002039452,0.999,0.446,0,"0","Cd79a"
"Ralgps2",0,1.53589916934287,0.726,0.373,0,"0","Ralgps2"
"Parp1",0,1.20034357715929,0.4,0.233,0,"0","Parp1"
"Fcer2a",0,1.10812410823876,0.647,0.199,0,"0","Fcer2a"
"Fchsd2",0,1.06564790779774,0.471,0.213,0,"0","Fchsd2"
"Ciita",0,0.960609426419918,0.425,0.158,0,"0","Ciita"
"Man1a",0,0.916036863157653,0.46,0.25,0,"0","Man1a"
"Abhd17b",0,0.886064363783633,0.466,0.263,0,"0","Abhd17b"
"Zfp318",0,0.873017075646177,0.371,0.155,0,"0","Zfp318"
"Hvcn1",0,0.855456087801981,0.536,0.266,0,"0","Hvcn1"
"Ptp4a3",0,0.810586561383591,0.576,0.365,0,"0","Ptp4a3"
"Serpinb1a",0,0.763537273825415,0.353,0.147,0,"0","Serpinb1a"
"Fcrl1",0,0.754020871017471,0.313,0.149,0,"0","Fcrl1"
"Lmo2",0,0.745819494593794,0.337,0.125,0,"0","Lmo2"
"Snx2",0,0.730526516955098,0.498,0.278,0,"0","Snx2"
"Pxk",0,0.670518189625263,0.421,0.217,0,"0","Pxk"
"Cd37",0,0.639453748722094,0.899,0.62,0,"0","Cd37"
"Stap1",0,0.637304653808106,0.377,0.197,0,"0","Stap1"
"Pxdc1",0,0.634275543740324,0.271,0.098,0,"0","Pxdc1"
"Btla",0,0.63001211548622,0.36,0.183,0,"0","Btla"
"Scd1",0,0.597954065716136,0.497,0.238,0,"0","Scd1"
"H2-DMb2",0,0.556955794225548,0.761,0.32,0,"0","H2-DMb2"
"March1",0,0.496544813644975,0.258,0.1,0,"0","March1"
"Rasgrp3",0,0.492021857705495,0.233,0.079,0,"0","Rasgrp3"
"Hhex",0,0.478425613730712,0.262,0.119,0,"0","Hhex"
"Cnn3",0,0.464931838500333,0.3,0.146,0,"0","Cnn3"
"B3gnt5",0,0.460495211995456,0.324,0.137,0,"0","B3gnt5"
"Gga2",0,0.446371798107575,0.337,0.158,0,"0","Gga2"
"Gm15675",0,0.400350612293741,0.209,0.073,0,"0","Gm15675"
"Lrrk2",0,0.399248347639338,0.253,0.111,0,"0","Lrrk2"
"H2-Oa",0,0.377256691879142,0.501,0.238,0,"0","H2-Oa"
"Plcg2",0,0.291667160972492,0.359,0.186,0,"0","Plcg2"
"Cacna1i",0,0.2717737873517,0.138,0.039,0,"0","Cacna1i"
"Pax5",0,-0.32295414048341,0.529,0.257,0,"0","Pax5"
"Blnk",0,-0.340814934904695,0.424,0.223,0,"0","Blnk"
"Slc12a7",0,-0.361459223653538,0.011,0.116,0,"0","Slc12a7"
"Cd96",0,-0.384160370829465,0.001,0.106,0,"0","Cd96"
"Ikzf3",0,-0.385222493996744,0.571,0.359,0,"0","Ikzf3"
"Themis",0,-0.434766951023601,0.001,0.113,0,"0","Themis"
"Znrf1",0,-0.494409517447378,0.031,0.157,0,"0","Znrf1"
"Mllt3",0,-0.519435763108733,0.027,0.154,0,"0","Mllt3"
"Serp1",0,-0.527451538279274,0.719,0.446,0,"0","Serp1"
"Ramp1",0,-0.540540512462164,0.001,0.11,0,"0","Ramp1"
"Il6st",0,-0.548731021782242,0.012,0.142,0,"0","Il6st"
"Ipcef1",0,-0.551215979609748,0.019,0.14,0,"0","Ipcef1"
"Ptpn22",0,-0.570131324410248,0.036,0.18,0,"0","Ptpn22"
"Ikbke",0,-0.570683767889779,0.015,0.156,0,"0","Ikbke"
"Pou2f2",0,-0.572766911758497,0.612,0.372,0,"0","Pou2f2"
"Als2cl",0,-0.590015454122927,0.001,0.138,0,"0","Als2cl"
"Otulinl",0,-0.608423021473545,0.018,0.163,0,"0","Otulinl"
"Itm2c",0,-0.661782206806166,0.014,0.14,0,"0","Itm2c"
"Zap70",0,-0.671977509581932,0.003,0.153,0,"0","Zap70"
"Kcnn4",0,-0.692543995793306,0.016,0.178,0,"0","Kcnn4"
"Slc9a3r1",0,-0.705325867643625,0.117,0.268,0,"0","Slc9a3r1"
"Bcl11a",0,-0.741217030173624,0.459,0.221,0,"0","Bcl11a"
"Cyp4f18",0,-0.754965152240859,0.286,0.128,0,"0","Cyp4f18"
"Fam189b",0,-0.781267088526844,0.024,0.203,0,"0","Fam189b"
"Srpk1",0,-0.809863292113718,0.128,0.294,0,"0","Srpk1"
"Syk",0,-0.810869425313125,0.615,0.309,0,"0","Syk"
"Il6ra",0,-0.815506271986475,0.047,0.187,0,"0","Il6ra"
"Klk8",0,-0.835239760527552,0.001,0.157,0,"0","Klk8"
"Inpp4b",0,-0.852819121454569,0.067,0.212,0,"0","Inpp4b"
"Kbtbd11",0,-0.855671387552275,0.066,0.219,0,"0","Kbtbd11"
"Fcrla",0,-0.865713321673233,0.502,0.231,0,"0","Fcrla"
"Vsir",0,-0.894786897530667,0.017,0.181,0,"0","Vsir"
"Gtf2i",0,-0.91537844958017,0.074,0.244,0,"0","Gtf2i"
"Txk",0,-0.939997191861251,0.016,0.178,0,"0","Txk"
"Tecpr1",0,-1.04348809472146,0.11,0.277,0,"0","Tecpr1"
"Serinc3",0,-1.05098240520403,0.702,0.481,0,"0","Serinc3"
"Scp2",0,-1.08430470830125,0.211,0.378,0,"0","Scp2"
"Fam78a",0,-1.10861213243641,0.052,0.21,0,"0","Fam78a"
"Sh2d1a",0,-1.1105530474051,0.001,0.116,0,"0","Sh2d1a"
"Lcp2",0,-1.12347935857693,0.003,0.183,0,"0","Lcp2"
"Swap70",0,-1.12628086925284,0.515,0.257,0,"0","Swap70"
"Itk",0,-1.13180734277057,0.005,0.227,0,"0","Itk"
"Prkcq",0,-1.1349965098988,0.002,0.221,0,"0","Prkcq"
"Nsg2",0,-1.14120445531201,0.002,0.2,0,"0","Nsg2"
"Dnajc15",0,-1.31689786092124,0.061,0.218,0,"0","Dnajc15"
"Gm2682",0,-1.33178143399625,0.002,0.214,0,"0","Gm2682"
"Rinl",0,-1.34495454572431,0.032,0.262,0,"0","Rinl"
"Sept9",0,-1.36074939846135,0.072,0.272,0,"0","Sept9"
"Utrn",0,-1.36181485057822,0.062,0.269,0,"0","Utrn"
"Leprotl1",0,-1.36651189416929,0.048,0.311,0,"0","Leprotl1"
"Fyn",0,-1.48028768750618,0.093,0.287,0,"0","Fyn"
"Cd27",0,-1.51792566427805,0.004,0.213,0,"0","Cd27"
"Cd28",0,-1.55949677348269,0.001,0.167,0,"0","Cd28"
"Peli1",0,-1.59420375237412,0.183,0.344,0,"0","Peli1"
"Gm30211",0,-1.6340583518417,0.373,0.149,0,"0","Gm30211"
"Cd6",0,-1.64034766832627,0.001,0.165,0,"0","Cd6"
"Spn",0,-1.65220642022932,0.014,0.214,0,"0","Spn"
"Pdcd4",0,-1.68819937027424,0.189,0.365,0,"0","Pdcd4"
"Rpl7",0,-1.8367798468084,0.959,0.956,0,"0","Rpl7"
"Cd247",0,-1.84812456361389,0.005,0.251,0,"0","Cd247"
"Ighd",0,-1.88287736734237,0.908,0.334,0,"0","Ighd"
"Ebf1",0,-1.8866099046866,0.905,0.395,0,"0","Ebf1"
"Saraf",0,-1.91685621314207,0.03,0.297,0,"0","Saraf"
"Selenop",0,-2.03397448043573,0.045,0.184,0,"0","Selenop"
"Cd5",0,-2.22889285229979,0.003,0.206,0,"0","Cd5"
"Skap1",0,-2.26457109228911,0.005,0.317,0,"0","Skap1"
"Arl4c",0,-2.37601285970857,0.007,0.281,0,"0","Arl4c"
"Prkch",0,-2.41597585878982,0.002,0.235,0,"0","Prkch"
"Dgka",0,-2.42980922556764,0.224,0.411,0,"0","Dgka"
"Myl12a",0,-2.4549333753707,0.424,0.587,0,"0","Myl12a"
"Capg",0,-2.54832382213244,0.443,0.263,0,"0","Capg"
"Atp5j2",0,-2.70888275924834,0.516,0.656,0,"0","Atp5j2"
"Bcl11b",0,-2.76250855855634,0.003,0.31,0,"0","Bcl11b"
"Pabpc1",0,-2.82268024028766,0.667,0.794,0,"0","Pabpc1"
"Actn1",0,-2.89391060602475,0.007,0.286,0,"0","Actn1"
"Siglecg",0,-2.92628390044524,0.516,0.264,0,"0","Siglecg"
"Slfn1",0,-2.93181265033301,0.008,0.144,0,"0","Slfn1"
"Unc93b1",0,-2.96926689688415,0.581,0.331,0,"0","Unc93b1"
"Sept1",0,-3.00013245350537,0.377,0.566,0,"0","Sept1"
"Ctsw",0,-3.08800820119315,0.001,0.161,0,"0","Ctsw"
"Emb",0,-3.09283702498165,0.007,0.293,0,"0","Emb"
"Ldha",0,-3.10942135317856,0.227,0.446,0,"0","Ldha"
"Ms4a6b",0,-3.20860332700107,0.049,0.353,0,"0","Ms4a6b"
"Cd81",0,-3.28387854115523,0.493,0.277,0,"0","Cd81"
"H2-DMb1",0,-3.59868818573404,0.304,0.127,0,"0","H2-DMb1"
"Cd83",0,-3.71203709407326,0.316,0.139,0,"0","Cd83"
"Blk",0,-3.71860041330774,0.573,0.282,0,"0","Blk"
"Klrd1",0,-3.97847613813203,0.001,0.124,0,"0","Klrd1"
"Ctsd",0,-4.01843916386819,0.052,0.266,0,"0","Ctsd"
"Psme1",0,-4.17961585199657,0.507,0.654,0,"0","Psme1"
"Ly86",0,-4.21786372975004,0.596,0.302,0,"0","Ly86"
"Atp5h",0,-4.2614387393645,0.586,0.729,0,"0","Atp5h"
"Rpl22",0,-4.31075380817305,0.981,0.967,0,"0","Rpl22"
"Cd4",0,-4.46479964094757,0.001,0.163,0,"0","Cd4"
"Chd3",0,-4.50451242010264,0.215,0.483,0,"0","Chd3"
"Itgal",0,-4.58323490198491,0.143,0.304,0,"0","Itgal"
"Naca",0,-4.63113865288392,0.817,0.872,0,"0","Naca"
"Lck",0,-4.79675542071215,0.044,0.454,0,"0","Lck"
"Lef1",0,-4.87617377524452,0.012,0.338,0,"0","Lef1"
"Dtx1",0,-4.87691535514528,0.148,0.312,0,"0","Dtx1"
"Trac",0,-4.88788343102998,0.003,0.304,0,"0","Trac"
"Ms4a4c",0,-5.09675202986317,0.302,0.141,0,"0","Ms4a4c"
"Cd8a",0,-5.19556050960353,0.001,0.142,0,"0","Cd8a"
"Itgb2",0,-5.20905339650286,0.121,0.302,0,"0","Itgb2"
"Fcmr",0,-5.23686682677672,0.809,0.328,0,"0","Fcmr"
"Rps17",0,-5.2746645548969,0.734,0.807,0,"0","Rps17"
"Rnase6",0,-5.47069117921696,0.37,0.182,0,"0","Rnase6"
"Atp1b3",0,-5.62452928215673,0.122,0.435,0,"0","Atp1b3"
"Icosl",0,-5.63428756958614,0.308,0.109,0,"0","Icosl"
"Rpl36al",0,-6.00417913821791,0.8,0.864,0,"0","Rpl36al"
"Tcf7",0,-6.00620094746248,0.003,0.356,0,"0","Tcf7"
"Mzb1",0,-6.22426727261094,0.475,0.256,0,"0","Mzb1"
"Dapl1",0,-6.26138202412144,0.001,0.141,0,"0","Dapl1"
"Napsa",0,-6.32835208547767,0.654,0.333,0,"0","Napsa"
"Mrpl33",0,-6.35172839364962,0.181,0.347,0,"0","Mrpl33"
"Selplg",0,-6.37171723475016,0.111,0.434,0,"0","Selplg"
"Pycard",0,-6.39866325546526,0.13,0.289,0,"0","Pycard"
"Ptpn18",0,-6.51511917507854,0.66,0.774,0,"0","Ptpn18"
"Ly6e",0,-6.63609990508884,0.991,0.861,0,"0","Ly6e"
"Lat",0,-6.87052677905885,0.008,0.417,0,"0","Lat"
"Rgs10",0,-6.94406734675691,0.007,0.269,0,"0","Rgs10"
"Fyb",0,-7.14017331121034,0.005,0.387,0,"0","Fyb"
"Rack1",0,-7.24683532120513,0.909,0.927,0,"0","Rack1"
"Rpl23a",0,-7.34375502478039,0.738,0.819,0,"0","Rpl23a"
"Cd3e",0,-7.47038723516368,0.004,0.438,0,"0","Cd3e"
"Ctsh",0,-7.54272098552013,0.51,0.234,0,"0","Ctsh"
"Rpl4",0,-7.7912765555934,0.858,0.888,0,"0","Rpl4"
"Ms4a1",0,-7.88986027747778,0.844,0.401,0,"0","Ms4a1"
"Cox4i1",0,-8.03743215598618,0.758,0.84,0,"0","Cox4i1"
"Smc4",0,-8.1972688340981,0.206,0.391,0,"0","Smc4"
"Il2rb",0,-8.29653459392516,0.001,0.143,0,"0","Il2rb"
"Trbc1",0,-8.35937321202147,0.002,0.227,0,"0","Trbc1"
"Iglc3",0,-8.40544454409648,0.909,0.389,0,"0","Iglc3"
"H2-Q7",0,-8.72168904429192,0.459,0.683,0,"0","H2-Q7"
"Trbc2",0,-8.78765888877157,0.004,0.376,0,"0","Trbc2"
"Hcst",0,-8.88328897958878,0.141,0.472,0,"0","Hcst"
"Cd3d",0,-9.67209746186601,0.008,0.474,0,"0","Cd3d"
"Rac2",0,-10.0382543335147,0.779,0.851,0,"0","Rac2"
"Cfl1",0,-10.4864922980114,0.851,0.902,0,"0","Cfl1"
"Thy1",0,-10.75573255469,0.003,0.37,0,"0","Thy1"
"Rpl35a",0,-10.8438078225158,0.999,0.991,0,"0","Rpl35a"
"Rpl24",0,-11.0977349307926,0.957,0.954,0,"0","Rpl24"
"Cd3g",0,-11.2042419693768,0.004,0.445,0,"0","Cd3g"
"Psme2",0,-11.2169314034056,0.402,0.582,0,"0","Psme2"
"Il7r",0,-11.5013136366349,0.002,0.248,0,"0","Il7r"
"Cd8b1",0,-11.5080479871293,0.002,0.171,0,"0","Cd8b1"
"Cd9",0,-11.5408875070122,0.01,0.12,0,"0","Cd9"
"Mef2c",0,-11.8004358509238,0.726,0.307,0,"0","Mef2c"
"Ctss",0,-11.9096132742344,0.638,0.434,0,"0","Ctss"
"Vpreb3",0,-12.4349099775916,0.478,0.216,0,"0","Vpreb3"
"Cd19",0,-12.6635490577376,0.725,0.335,0,"0","Cd19"
"Cr2",0,-13.1246710353542,0.426,0.223,0,"0","Cr2"
"Cd79b",0,-13.3415584898367,0.976,0.447,0,"0","Cd79b"
"Rpl5",0,-13.8019761171071,0.879,0.91,0,"0","Rpl5"
"Myl6",0,-14.0683934555723,0.706,0.828,0,"0","Myl6"
"Nme2",0,-14.7750717546682,0.59,0.726,0,"0","Nme2"
"Rpl14",0,-14.8016688574581,0.934,0.934,0,"0","Rpl14"
"Rpl36a",0,-14.8479982151506,0.956,0.944,0,"0","Rpl36a"
"Npc2",0,-15.0656429247755,0.205,0.523,0,"0","Npc2"
"Ccnd2",0,-15.2037962599699,0.063,0.385,0,"0","Ccnd2"
"Rps7",0,-15.8789692323887,0.997,0.986,0,"0","Rps7"
"Rpl6",0,-15.8905581977348,0.987,0.975,0,"0","Rpl6"
"Rpl13a",0,-16.0962036803154,0.99,0.978,0,"0","Rpl13a"
"H3f3a",0,-16.6391604509893,0.976,0.858,0,"0","H3f3a"
"Rpl27",0,-16.7084836231198,0.986,0.974,0,"0","Rpl27"
"Igfbp4",0,-17.1834053229722,0.001,0.168,0,"0","Igfbp4"
"Rps9",0,-17.2698827457343,0.997,0.99,0,"0","Rps9"
"Rpl29",0,-17.662481984466,0.944,0.944,0,"0","Rpl29"
"Rpl27a",0,-17.7064947032241,0.998,0.988,0,"0","Rpl27a"
"Rpl15",0,-17.8297517865976,0.951,0.953,0,"0","Rpl15"
"H2-DMa",0,-18.3808894074595,0.692,0.363,0,"0","H2-DMa"
"Fxyd5",0,-18.7728428699362,0.236,0.555,0,"0","Fxyd5"
"Rpl21",0,-18.9061116224251,0.996,0.985,0,"0","Rpl21"
"H2-K1",0,-19.3255363419782,0.962,0.959,0,"0","H2-K1"
"Rpl11",0,-19.4685061196786,0.994,0.983,0,"0","Rpl11"
"Eef1b2",0,-19.696073235882,0.823,0.886,0,"0","Eef1b2"
"Rps6",0,-20.6962587034604,0.913,0.928,0,"0","Rps6"
"Rps8",0,-20.822997694965,0.999,0.991,0,"0","Rps8"
"Rps13",0,-21.0804680652571,0.997,0.988,0,"0","Rps13"
"Rps3",0,-21.155955813493,0.989,0.978,0,"0","Rps3"
"Ly6d",0,-21.7985754176792,0.951,0.431,0,"0","Ly6d"
"Rpl9",0,-21.878573553089,0.997,0.987,0,"0","Rpl9"
"Rpl37",0,-22.0624160171637,0.998,0.988,0,"0","Rpl37"
"Id2",0,-22.1055439601649,0.01,0.173,0,"0","Id2"
"Rpl39",0,-22.7129632542122,0.996,0.987,0,"0","Rpl39"
"Rpl8",0,-23.1634282539982,0.992,0.978,0,"0","Rpl8"
"Rps3a1",0,-23.4611496989063,0.998,0.989,0,"0","Rps3a1"
"Rplp0",0,-23.6636332287206,0.972,0.97,0,"0","Rplp0"
"Ms4a4b",0,-23.9892347215404,0.014,0.447,0,"0","Ms4a4b"
"Rpl17",0,-24.3782962745556,0.992,0.981,0,"0","Rpl17"
"Rps16",0,-24.913304527478,0.999,0.991,0,"0","Rps16"
"Rpl10a",0,-24.9143862067738,0.984,0.97,0,"0","Rpl10a"
"Rpl3",0,-26.6647435556925,0.952,0.952,0,"0","Rpl3"
"Rplp2",0,-26.7716103261017,0.992,0.981,0,"0","Rplp2"
"Rps4x",0,-26.8347043018382,0.995,0.985,0,"0","Rps4x"
"Rpl12",0,-27.23353339666,0.964,0.95,0,"0","Rpl12"
"Rps23",0,-27.749263871046,0.987,0.981,0,"0","Rps23"
"Irf8",0,-28.3761472522551,0.511,0.286,0,"0","Irf8"
"Rps5",0,-30.238638420633,0.997,0.985,0,"0","Rps5"
"B2m",0,-30.6811708839676,0.91,0.942,0,"0","B2m"
"Rps26",0,-30.7049243220467,0.996,0.984,0,"0","Rps26"
"Rps11",0,-30.7810279133696,0.994,0.986,0,"0","Rps11"
"Rpl18",0,-31.599780444513,0.995,0.986,0,"0","Rpl18"
"Rps14",0,-32.3416629437157,0.988,0.981,0,"0","Rps14"
"Rpl19",0,-33.4947895004322,0.997,0.988,0,"0","Rpl19"
"Mif",0,-33.5320232997569,0.349,0.509,0,"0","Mif"
"Rps10",0,-33.5701368985374,0.998,0.988,0,"0","Rps10"
"Rps27a",0,-33.9186784369394,0.997,0.989,0,"0","Rps27a"
"Rpl28",0,-34.6028694469691,0.987,0.974,0,"0","Rpl28"
"Rpl23",0,-34.6736484074833,0.999,0.99,0,"0","Rpl23"
"Rps29",0,-35.4604517159778,0.997,0.99,0,"0","Rps29"
"Rpl30",0,-36.3917194752081,0.999,0.99,0,"0","Rpl30"
"Rps18",0,-37.3922557366083,0.984,0.972,0,"0","Rps18"
"Rpl13",0,-37.970097968352,0.999,0.99,0,"0","Rpl13"
"Npm1",0,-39.3973274816394,0.635,0.762,0,"0","Npm1"
"Ppia",0,-39.5074575633259,0.969,0.967,0,"0","Ppia"
"Pfn1",0,-41.4877811452705,0.952,0.957,0,"0","Pfn1"
"Rpl36",0,-43.6585622802118,0.995,0.983,0,"0","Rpl36"
"Rps28",0,-44.9269234243382,0.991,0.983,0,"0","Rps28"
"Rps24",0,-45.1126336084647,1,0.993,0,"0","Rps24"
"Rpsa",0,-45.5403190180751,0.997,0.987,0,"0","Rpsa"
"Actg1",0,-47.8063321704471,0.773,0.861,0,"0","Actg1"
"Cd7",0,-48.4747757267633,0.001,0.149,0,"0","Cd7"
"H2afz",0,-48.7790041317582,0.348,0.549,0,"0","H2afz"
"Rplp1",0,-49.4408418095833,0.995,0.989,0,"0","Rplp1"
"Eef1a1",0,-50.8777457496823,0.995,0.989,0,"0","Eef1a1"
"Rpl37a",0,-55.7990765160372,0.997,0.992,0,"0","Rpl37a"
"Rps15a",0,-59.1919506985682,0.998,0.986,0,"0","Rps15a"
"H2-Eb1",0,-60.9816244051215,0.996,0.453,0,"0","H2-Eb1"
"Tpt1",0,-62.4287198688068,0.995,0.989,0,"0","Tpt1"
"H2-Aa",0,-69.4523000849456,0.998,0.466,0,"0","H2-Aa"
"Itm2b",0,-70.0799839915715,0.631,0.74,0,"0","Itm2b"
"Rpl32",0,-70.9334099640318,0.995,0.983,0,"0","Rpl32"
"AW112010",0,-70.9874458329258,0.178,0.438,0,"0","AW112010"
"Rps2",0,-71.0771005357958,0.989,0.976,0,"0","Rps2"
"Nkg7",0,-74.5078518781071,0.002,0.208,0,"0","Nkg7"
"Rpl41",0,-85.5559177683578,1,0.995,0,"0","Rpl41"
"H2-Ab1",0,-87.9913774262475,0.994,0.454,0,"0","H2-Ab1"
"Lgals1",0,-103.170225533346,0.053,0.218,0,"0","Lgals1"
"Iglc2",0,-143.214657072129,0.927,0.414,0,"0","Iglc2"
"Actb",0,-149.168436865574,0.998,0.995,0,"0","Actb"
"Tmsb10",0,-183.067066696325,0.999,0.988,0,"0","Tmsb10"
"Cd74",0,-288.927628939279,1,0.53,0,"0","Cd74"
"Tmsb4x",0,-369.622176343483,0.998,0.995,0,"0","Tmsb4x"
"Ccl5",0,-371.086322334003,0.003,0.116,0,"0","Ccl5"
"Igkc",0,-Inf,0.98,0.408,0,"0","Igkc"
"Ighm",0,-Inf,0.982,0.675,0,"0","Ighm"
"Lfng",3.04966752561982e-304,-0.755794692914343,0.079,0.217,9.8458516064636e-300,"0","Lfng"
"Ass1",2.09483030001311e-303,-1.26428536226364,0.03,0.144,6.76315962359233e-299,"0","Ass1"
"Ccr6",1.93742360131734e-302,0.324691047783263,0.169,0.06,6.25497209685303e-298,"0","Ccr6"
"Rpl10",1.33528905953262e-301,-19.5568669114324,0.961,0.956,4.31098072870107e-297,"0","Rpl10"
"Arl6ip5",7.17892270521431e-299,-0.81077536644007,0.147,0.301,2.31771519537844e-294,"0","Arl6ip5"
"Rpl22l1",7.49438255780994e-299,-8.37674615505276,0.728,0.794,2.41956140878894e-294,"0","Rpl22l1"
"Fkbp1a",5.2733791237968e-297,-1.03151352560362,0.168,0.324,1.7025104501178e-292,"0","Fkbp1a"
"Helz2",6.28917082366835e-297,0.99410025905439,0.379,0.22,2.03045880042133e-292,"0","Helz2"
"Ly6c2",4.04609810297013e-296,-90.4947981877443,0.01,0.104,1.30628277254391e-291,"0","Ly6c2"
"Rps21",4.62860382171795e-296,-19.2722898695842,0.997,0.989,1.49434474384164e-291,"0","Rps21"
"Myo1c",1.6449505031143e-294,0.380241179227447,0.297,0.15,5.31072269930451e-290,"0","Myo1c"
"Pml",4.4771979059117e-294,0.795402506704855,0.329,0.178,1.44546334392359e-289,"0","Pml"
"Prkcb",9.6087836849923e-294,0.72561644412223,0.498,0.325,3.10219581269977e-289,"0","Prkcb"
"Snn",2.21841821473638e-292,0.276992603171826,0.315,0.163,7.16216320627639e-288,"0","Snn"
"Uqcrq",3.84438158656622e-292,-10.7598913699936,0.424,0.574,1.2411585952229e-287,"0","Uqcrq"
"Rpl34",1.73167708643553e-290,-14.2969822107196,0.998,0.988,5.59071947355712e-286,"0","Rpl34"
"Cdk2ap2",1.73445573732889e-290,-14.0922873429659,0.342,0.5,5.59969034796632e-286,"0","Cdk2ap2"
"H2-Eb2",2.17779008527209e-290,0.308237261062509,0.172,0.064,7.03099529030093e-286,"0","H2-Eb2"
"Ppp1r14b",2.270568900701e-287,-1.28968237769232,0.133,0.281,7.33053169591317e-283,"0","Ppp1r14b"
"Abracl",2.44247460916277e-287,-1.4162586700317,0.27,0.43,7.88552927568199e-283,"0","Abracl"
"Rpl26",3.16103860371165e-287,-17.6955322037199,0.977,0.967,1.02054131320831e-282,"0","Rpl26"
"Filip1l",6.9599891444264e-287,0.542429180940603,0.324,0.176,2.24703249527806e-282,"0","Filip1l"
"Bzw2",2.68056825188807e-285,-0.405297627015269,0.033,0.145,8.65421460122064e-281,"0","Bzw2"
"Uqcrh",3.95849946635468e-285,-0.573371337659757,0.721,0.799,1.27800155271261e-280,"0","Uqcrh"
"Chchd10",1.63613708856189e-282,-0.67462981902992,0.408,0.24,5.28226859042208e-278,"0","Chchd10"
"Eef2",4.82971299632792e-282,-8.37045748447359,0.854,0.885,1.55927284086447e-277,"0","Eef2"
"Apobec3",2.18122060565958e-281,-0.403265575173806,0.584,0.402,7.04207072537196e-277,"0","Apobec3"
"Lyn",1.96904233364553e-280,-0.929484371930498,0.424,0.249,6.35705317417459e-276,"0","Lyn"
"Sorl1",4.28366486937249e-280,0.564564609672444,0.42,0.26,1.38298120307691e-275,"0","Sorl1"
"Mgst2",3.20872164048562e-279,-0.449355469480693,0.028,0.134,1.03593578163078e-274,"0","Mgst2"
"Sec61b",4.96700777066485e-279,-8.22510614897308,0.499,0.63,1.60359845875915e-274,"0","Sec61b"
"Arf5",9.14557616039858e-279,-1.89687368397663,0.33,0.485,2.95264926338468e-274,"0","Arf5"
"Rpl7a",4.24849360765976e-278,-6.10438000658581,0.878,0.903,1.37162616123295e-273,"0","Rpl7a"
"Pitpnc1",1.97703298633898e-277,-0.506086928580641,0.051,0.169,6.38285099639541e-273,"0","Pitpnc1"
"Prdx6",1.59221617055104e-275,-0.571672065749503,0.098,0.234,5.14046990662403e-271,"0","Prdx6"
"Bin2",9.48792731816376e-275,-1.49863675714496,0.212,0.364,3.06317733466917e-270,"0","Bin2"
"Limd2",1.30289186264918e-274,-4.72513743664561,0.675,0.766,4.20638637856288e-270,"0","Limd2"
"Notch1",2.76296816037432e-274,-10.96609617612,0.027,0.131,8.92024270576851e-270,"0","Notch1"
"Smim14",2.29935169228409e-273,0.473597403609138,0.492,0.326,7.42345693853919e-269,"0","Smim14"
"Rpl35",8.04569566277424e-273,-20.4944614221317,0.993,0.977,2.59755284472666e-268,"0","Rpl35"
"Wdfy4",1.35817302906616e-271,-4.04042080292873,0.353,0.196,4.38486162434009e-267,"0","Wdfy4"
"Sh3bp1",6.31561314973077e-270,-0.497960312775226,0.056,0.175,2.03899570539058e-265,"0","Sh3bp1"
"Rpl38",6.52829424743048e-267,-23.2834791912594,0.99,0.979,2.10765979778293e-262,"0","Rpl38"
"Ccdc88b",9.80090946758415e-267,-0.314208099703011,0.022,0.121,3.16422362160954e-262,"0","Ccdc88b"
"Lmbrd1",1.33425753915361e-266,0.381487992839807,0.251,0.123,4.30765046515744e-262,"0","Lmbrd1"
"Tagln2",2.98793781489276e-266,-14.5607067290568,0.252,0.409,9.64655723538129e-262,"0","Tagln2"
"Btk",8.8341803320355e-266,0.319532941812896,0.242,0.116,2.85211512019766e-261,"0","Btk"
"Galnt6",2.1421207510131e-264,-0.426237024057333,0.038,0.147,6.9158368446458e-260,"0","Galnt6"
"Rps15",1.16018345014336e-261,-7.8982021326863,0.871,0.891,3.74565226878784e-257,"0","Rps15"
"Ly6a",3.11162949161286e-261,-2.84970700551302,0.53,0.344,1.00458958136721e-256,"0","Ly6a"
"Hsp90ab1",4.39258240146148e-261,-65.1658379479187,0.928,0.943,1.41814522831184e-256,"0","Hsp90ab1"
"S100a13",5.74783254736403e-260,-1.64291657652128,0.168,0.312,1.85568773791648e-255,"0","S100a13"
"mt-Co2",8.95593257046518e-260,-35.0133022439325,0.999,0.989,2.89142283037468e-255,"0","mt-Co2"
"Snx9",4.06607787980238e-256,0.38129055622932,0.258,0.13,1.3127332434942e-251,"0","Snx9"
"Tle5",2.36133117180144e-255,-2.34566596542054,0.452,0.582,7.62355768816094e-251,"0","Tle5"
"Plcg1",3.55335336116249e-254,-0.323677173527291,0.024,0.12,1.14720013265131e-249,"0","Plcg1"
"Dennd5b",6.79577034590676e-254,0.303067620792018,0.193,0.083,2.194014456176e-249,"0","Dennd5b"
"Hpcal1",8.43772626056957e-253,-0.324877948601091,0.022,0.116,2.72411992322489e-248,"0","Hpcal1"
"Eif3h",1.31293867466363e-251,-1.82884655733637,0.439,0.576,4.23882251115152e-247,"0","Eif3h"
